ostan,x,y
East Azerbaijan,-421,400
West Azerbaijan,-523,401
Ardabil,-336,432
Isfahan,-94,76
Alborz,-175,257
Ilam,-408,62
Bushehr,-137,-251
Tehran,-129,230
Chaharmahal and Bakhtiari,-194,-9
South Khorasan,278,54
Razavi Khorasan,316,245
North Khorasan,205,360
Khuzestan,-289,-48
Zanjan,-318,301
Semnan,49,221
Sistan and Baluchestan,405,-323
Fars,-29,-230
Qazvin,-237,265
Qom,-167,169
Kurdistan,-392,228
Kerman,196,-153
Kermanshah,-425,151
Kohgiluyeh and Boyer-Ahmad,-179,-99
Golestan,70,347
Gilan,-251,341
Lorestan,-315,83
Mazandaran,-99,281
Markazi,-243,159
Hormozgan,148,-324
Hamadan,-311,187
Yazd,34,-16
