ostan,x,y
آذربایجان شرقی,-421,400
آذربایجان غربی,-523,401
اردبیل,-336,432
اصفهان,-94,76
البرز,-175,257
ایلام,-408,62
بوشهر,-137,-251
تهران,-129,230
چهارمحال و بختیاری,-194,-9
خراسان جنوبی,278,54
خراسان رضوی,316,245
خراسان شمالی,205,360
خوزستان,-289,-48
زنجان,-318,301
سمنان,49,221
سیستان و بلوچستان,405,-323
فارس,-29,-230
قزوین,-237,265
قم,-167,169
کردستان,-392,228
کرمان,196,-153
کرمانشاه,-425,151
کهگیلویه و بویراحمد,-179,-99
گلستان,70,347
گیلان,-251,341
لرستان,-315,83
مازندران,-99,281
مرکزی,-243,159
هرمزگان,148,-324
همدان,-311,187
یزد,34,-16
